Telugu,English
మీరు,you
నేను,i am
ఒక,a
మరియు,And
ఉంది,There is
మేము,We are
ఈ,This
లేదు,No
నా,My
మీ,m
నాకు,to me
ఆ,That
ఇది,This is
అతను,He is
అవును,Yes
యొక్క,of
ఇక్కడ,Here
అన్ని,All
కాదు,No
అది,That's it
ఏమి,what
కానీ,But
ఆమె,she
కోసం,for
చాలా,A lot
ఉన్నాయి,There are
వారు,They are
లో,in
ఇప్పుడు,Now
తెలుసు,know
గురించి,about
వచ్చింది,came
సంఖ్య,no
కుడి,right
కలిగి,have
గొన్న,gonna
ఉంటుంది,will be
మంచి,good
హే,hey
న,On
ఏమిటి,what
చూడండి,See
ఎలా,how
నుండి,from
తిరిగి,back
ఉంటాయి,are
కేవలం,Just
సరే,ok
ఓహ్,oh
ఎందుకు,why
వద్ద,at
అక్కడ,there
అని,that
కొన్ని,Some
బాగా,well
am,a.m
వెళ్ళి,go
మా,Our
అవసరం,required
లేదా,Or
ఉంటే,If
వంటి,such as
తో,with
ధన్యవాదాలు,thank you
చేస్తున్నాను,doing
ఏ,A
రెండు,Two
వ్యక్తి,the person
తన,His
డౌన్,Down
ఏదో,something
అప్,Up
పొందుటకు,to get
పొందండి,get
మీకు,to you
కమ్,Com
మనిషి,the man
సర్,sir
మాకు,to us
వాటిని,them
నన్ను,me
పని,work
కాల్,call
సమయం,time
సో,So
నిజంగా,Really
ఎప్పుడూ,Never
ఎవరు,who
ప్రతి,Each
అతనికి,to him
బయటకు,out
డబ్బు,money
ఖచ్చితంగా,Absolutely
అతనిని,him
రోజు,the day
ద్వారా,by
ఉండాలి,should be
ఏం,what
కూడా,Also
ఎందుకంటే,Because
